row_id,Trans.mrid,name,Locat.mrid,x_position,y_position
"1",95ae0a35-dbdd-4013-85ca-41cd8a8355b6,"35-3 Borwick St
Colac VIC 3250",067b78ed-9435-46bf-a474-a1c678d1c708,143.580011000000013,-38.352209000000002
"2",69f54ff6-7264-4c0d-93cd-6c6db4195263,"152 Aireys St
Ellimint,Victoria",f0423d97-511a-4386-8094-d7223e0850a9,143.582226999999989,-38.357688000000003
"3",f7bb4ddc-a20b-4f90-a048-31364182a330,"68-112 Aireys St
Elliminyt VIC 3250",3b090761-ac5a-4d94-aff0-7b74e80eb160,143.589975000000010,-38.358443999999999
"4",fd1bb3de-4233-4b25-a977-630fdbdcfe2d,"21-5 Aireys St
Elliminyt VIC 3250",3cb0425d-d8fd-4df0-a948-a57e833f5600,143.599795000000000,-38.359588000000002
"5",7dfe6dd9-574c-4bc7-a9a1-ab6e4e8937c0,"314-336 Armstrong St
Elliminyt VIC 3250",19aca657-e790-4a93-8792-6bc7916daad1,143.572066000000007,-38.364806000000002
"6",09ee3562-76c7-49e8-ac06-eea3c58db2c6,"237-189 Armstrong St
Elliminyt VIC 3250",da258427-dbfe-44bc-9d73-18bcc8a001e6,143.573383000000007,-38.355483999999997
"7",8413abb7-5973-431f-8998-ed9289237f9f,"179 Armstrong St
Colac VIC 3250",6847620a-0766-481a-9886-7905a62da028,143.574112000000014,-38.351357999999998
"8",d35f84b4-de9b-4c35-8f41-98adac1763fe,"62-68 Armstrong St
Colac VIC 3250",a3e91d1d-1d02-4e26-a109-91a9f1debaf8,143.575961000000007,-38.341760999999998
"9",bb261008-2da8-43d8-8475-b0a96adb68aa,"3-1 Autumn St
Colac VIC 3250",d75f2305-8c50-4d59-8e44-68f52640d8c5,143.597366999999991,-38.333278000000000
"10",929f7b2a-5c68-4ffa-8373-e01cf947f369,"13-1 Ball St
Colac VIC 3250",daa8964b-2204-42d0-b014-292a53f7ad90,143.569196000000005,-38.331296000000002
"11",c5694fbd-27e3-4b9d-b245-0c1b95dd251a,"52 Bromfield St
Colac VIC 3250",02de79a8-7f1b-487a-9a0e-8e53086a4ddf,143.585281000000009,-38.340954000000004
"12",8fa60455-7641-4a6b-83c7-e236c4f76f2f,"Bromfield St
Colac VIC 3250",b2455052-8ef1-416f-a209-56644b5ca85a,143.588141000000007,-38.340786000000001
"13",f26eb77a-9faa-4b75-bb5e-9cc584abe955,"105-83 Bruce St
Colac VIC 3250",75e7dfa9-6d4f-43d5-8256-5a0bbc0c8349,143.604477000000003,-38.338622999999998
"14",a4188a8f-fb55-4d7d-a3b8-a96805f1caf1,"44-32 Calvert St
Colac VIC 3250",2cc326df-6742-49e1-a3f8-911d6590fb10,143.588075000000003,-38.334961999999997
"15",9442abe0-6032-497a-b666-cd27b363a62a,"31 Chapel St
Colac VIC 3250",c1d663b5-8433-4259-8787-1389c1b6ee83,143.600244000000004,-38.334363000000003
"16",4d35891f-2208-47f2-94fe-8acd7fc1dd8a,"2-14 Clark St
Colac VIC 3250",50076f7f-6d9d-47a2-84e6-11cbb24b4ef6,143.607736999999986,-38.329103000000003
"17",9ab2ef53-857b-457e-9c91-0816c5d85820,"13 Connor St
Colac VIC 3250",9ac0a9b4-d554-45b7-8737-8e0244267aa7,143.582661000000002,-38.340443999999998
"18",29d28d9b-0515-4ff1-ae28-3a1fbf055d56,45 Corangamite St Colac VIC 3250,85a0b1a9-b710-402f-930e-89c258636818,143.584015999999991,-38.338788000000001
"19",a124c3c8-ee6e-4cfc-86f1-bb8c66d23443,"175-169 Main St
Elliminyt VIC 3250",d2ac0354-f476-4555-9338-fd209a9ef8c7,143.583042000000006,-38.360722000000003
"20",736144c2-453b-4fb8-8be7-c937377b3099,"2-16 Edgar St
Colac VIC 3250",60df1985-ab17-44e7-831d-2339887962db,143.600125999999989,-38.334024999999997
"21",816d999c-7720-45bb-8281-dd7f9036091e,"17-1 Forest St
Colac East VIC 3250",243398ca-af73-4249-a283-27fa1781627a,143.606317999999987,-38.337179999999996
"22",365ffacc-e7d4-40d2-9665-700a93785fc6,"68-102 Forest St
Colac East VIC 3250",f684ebf3-3dc6-40df-9a69-1566366efdf5,143.605608999999987,-38.342309000000000
"23",25fdf488-1345-4667-8a0e-c82c2bedbd15,"31A Forest St
Colac VIC 3250",80112b06-048c-469e-8816-897f11403406,143.605313999999993,-38.342702000000003
"24",623a574b-a176-45ee-b286-5eb4f2f4bf45,"59 Forest St
Colac East VIC 3250",db340f09-94bc-412a-b0af-b65ad7adf7f5,143.604969000000011,-38.345579999999998
"25",52287102-1ac2-42ef-9b9b-c7dd97ace4b7,"120-124 Forest St
Elliminyt VIC 3250",c442ffa0-0750-4eb4-bc23-e28a8654379f,143.604917000000000,-38.346139999999998
"26",fa885e72-c8eb-494d-8632-41939bcdbd7f,"91-149 Forest St
Elliminyt VIC 3250",55f16beb-d18f-467f-9e9c-77d7ddd33aff,143.604225000000014,-38.349488999999998
"27",97880826-b722-4e2b-bde1-f63e7f6d8e1b,"3-33 Bromfield St
Colac VIC 3250",c3ea2ac4-34ff-4289-9248-e2605099c4d1,143.585482000000013,-38.340691000000000
