row_id,AcLineSegm,length,Locat.mrid,x_position,y_position
1,bf6eca39-d103-4038-9066-ee129519ac28,336.321531483796207,cafacefe-194e-482d-857b-9d03b698e525,-38.336517827759408,143.531967568647559
2,9652d0af-8525-4aae-b766-b72ffaaae41b,385.859244180035375,d1cf66c5-69fd-49c0-bb4f-1bd3c5751315,-38.336296538656086,143.544613935897644
3,4d2945e0-9607-4088-b0be-b603a548bbc9,480.311717631261331,89f24523-bfbf-452e-812b-17d6dba06686,-38.336450135635573,143.547642434548351
4,f303615c-5972-4730-99b2-6de78457138c,254.706811927053934,ad65d99e-d366-4610-8e32-82a241d005b1,-38.335628457500007,143.539123605999976
5,1c485032-584b-4420-89ac-b6fa8f7399bd,210.306875731740519,d37d4529-4a9e-4146-bf1f-265ce1af7016,-38.335379343999989,143.527506241500021
6,91f4527b-50ab-4173-9eb1-c461693e8ced,240.827483218857509,6b2be5cf-a96e-4492-8a8c-66cbaf235fc4,-38.335175618499989,143.530073165500028
7,d081d386-d2ef-44ce-abe3-f139a3bb01be,554.973632238489245,6a8f235c-87f1-4659-8f1b-f965980b7d18,-38.334860225271797,143.550103988234440
8,83d1efc4-b831-47ed-9328-eb4bd0cb436e,137.759805616911819,74be475d-6412-408b-a0e5-855f8cae1f73,-38.334604181326114,143.552828613286806
9,c545e88d-5253-43f5-bb6f-de1a288716af,296.187751154393709,11b237d0-8740-48c8-9d3e-657a00b083e8,-38.334935623524338,143.533128939393436
10,b04f43d7-fda9-4a6d-b09d-122142c171d1,58.273809689967443,92334136-11ec-4c72-8bd6-de3e44511813,-38.334780730500000,143.535146457499991
11,63a7e9b2-27a7-445e-8050-324c898784a2,366.815076088698390,b7443ea4-aea1-4e45-9135-41e80915e4f5,-38.333194506479828,143.534355608307578
12,22fbe943-0401-40a9-9f28-239583c2f199,43.333868524192994,902df2f4-15ad-489e-ae8c-76b523e47abe,-38.334598028128561,143.535543129147925
13,6f2ec488-de40-4127-b111-ef18f012d9dc,302.591289651095337,c9d13eec-a363-454a-b930-7bcb7d587f36,-38.334623746999995,143.537200504999987
14,4ffcb5f9-9c5f-475f-ab6e-4db0b1d9e307,176.945375210266150,763682ca-559e-427e-8028-d67d72322c44,-38.334643142999994,143.545930503499960
