row_id,mRID,mainAddress,Location.mrid,x_position,y_position,PowerTransformerEnd_mRID
1,95ae0a35-dbdd-4013-85ca-41cd8a8355b6,"35-3 Borwick St
Colac VIC 3250",067b78ed-9435-46bf-a474-a1c678d1c708,143.580011,-38.352209,e76685f0-08ed-4bed-b2c2-36d8d9fae505
2,69f54ff6-7264-4c0d-93cd-6c6db4195263,"152 Aireys St
Ellimint,Victoria",f0423d97-511a-4386-8094-d7223e0850a9,143.582227,-38.357688,46daa752-9e5c-4d62-98f5-4ff296249e63
3,f7bb4ddc-a20b-4f90-a048-31364182a330,"68-112 Aireys St
Elliminyt VIC 3250",3b090761-ac5a-4d94-aff0-7b74e80eb160,143.589975,-38.358444,02f19ecc-9e08-43d5-af92-52c3a024dc7b
4,fd1bb3de-4233-4b25-a977-630fdbdcfe2d,"21-5 Aireys St
Elliminyt VIC 3250",3cb0425d-d8fd-4df0-a948-a57e833f5600,143.599795,-38.359588,a7ad5f23-3d8c-481f-9f0c-f7922ebdcb47
5,7dfe6dd9-574c-4bc7-a9a1-ab6e4e8937c0,"314-336 Armstrong St
Elliminyt VIC 3250",19aca657-e790-4a93-8792-6bc7916daad1,143.572066,-38.364806,3f2c6f79-e41f-49ed-b043-d1185f23aead
6,09ee3562-76c7-49e8-ac06-eea3c58db2c6,"237-189 Armstrong St
Elliminyt VIC 3250",da258427-dbfe-44bc-9d73-18bcc8a001e6,143.573383,-38.355484,c3886e49-5cd1-4ef9-b444-83b089b16c7d
7,8413abb7-5973-431f-8998-ed9289237f9f,"179 Armstrong St
Colac VIC 3250",6847620a-0766-481a-9886-7905a62da028,143.574112,-38.351358,5dfb2c4c-0006-4ac1-aa29-10d0d52af182
8,d35f84b4-de9b-4c35-8f41-98adac1763fe,"62-68 Armstrong St
Colac VIC 3250",a3e91d1d-1d02-4e26-a109-91a9f1debaf8,143.575961,-38.341761,9da00425-c842-47b6-8eda-0c706663b506
9,bb261008-2da8-43d8-8475-b0a96adb68aa,"3-1 Autumn St
Colac VIC 3250",d75f2305-8c50-4d59-8e44-68f52640d8c5,143.597367,-38.333278,d1636b30-aa71-45e6-b8ab-13a0a6c810f8
10,929f7b2a-5c68-4ffa-8373-e01cf947f369,"13-1 Ball St
Colac VIC 3250",daa8964b-2204-42d0-b014-292a53f7ad90,143.569196,-38.331296,22f0387c-8592-4345-8cde-13f0bc043dc1
11,c5694fbd-27e3-4b9d-b245-0c1b95dd251a,"52 Bromfield St
Colac VIC 3250",02de79a8-7f1b-487a-9a0e-8e53086a4ddf,143.585281,-38.340954,8de9ae41-3439-4ebf-9199-556fec2c2e5e
12,8fa60455-7641-4a6b-83c7-e236c4f76f2f,"Bromfield St
Colac VIC 3250",b2455052-8ef1-416f-a209-56644b5ca85a,143.588141,-38.340786,5a44f5ea-6174-4c21-9e1c-53faf049de7e
13,f26eb77a-9faa-4b75-bb5e-9cc584abe955,"105-83 Bruce St
Colac VIC 3250",75e7dfa9-6d4f-43d5-8256-5a0bbc0c8349,143.604477,-38.338623,470edafa-8ecf-497f-8c71-b77d4797a893
14,a4188a8f-fb55-4d7d-a3b8-a96805f1caf1,"44-32 Calvert St
Colac VIC 3250",2cc326df-6742-49e1-a3f8-911d6590fb10,143.588075,-38.334962,d02f26b5-80b1-4964-9e4e-870b66861ab4
15,9442abe0-6032-497a-b666-cd27b363a62a,"31 Chapel St
Colac VIC 3250",c1d663b5-8433-4259-8787-1389c1b6ee83,143.600244,-38.334363,228821cb-f952-4c95-ba71-bc64a99749ef
16,4d35891f-2208-47f2-94fe-8acd7fc1dd8a,"2-14 Clark St
Colac VIC 3250",50076f7f-6d9d-47a2-84e6-11cbb24b4ef6,143.607737,-38.329103,12698772-c827-4ff0-8263-2db1e2bc640b
17,9ab2ef53-857b-457e-9c91-0816c5d85820,"13 Connor St
Colac VIC 3250",9ac0a9b4-d554-45b7-8737-8e0244267aa7,143.582661,-38.340444,ce41c063-6111-478a-947e-3e5384ffdf4f
18,29d28d9b-0515-4ff1-ae28-3a1fbf055d56,45 Corangamite St Colac VIC 3250,85a0b1a9-b710-402f-930e-89c258636818,143.584016,-38.338788,a11e0250-591f-46df-838c-401107dec43f
19,a124c3c8-ee6e-4cfc-86f1-bb8c66d23443,"175-169 Main St
Elliminyt VIC 3250",d2ac0354-f476-4555-9338-fd209a9ef8c7,143.583042,-38.360722,ad925d24-9989-4db3-a9d5-376aeeb751ac
20,736144c2-453b-4fb8-8be7-c937377b3099,"2-16 Edgar St
Colac VIC 3250",60df1985-ab17-44e7-831d-2339887962db,143.600126,-38.334025,89529c15-ddb2-4f13-b91a-6ca13e5ed8d7
21,816d999c-7720-45bb-8281-dd7f9036091e,"17-1 Forest St
Colac East VIC 3250",243398ca-af73-4249-a283-27fa1781627a,143.606318,-38.33718,2c0c6b1e-b314-41fc-97fa-8103a3261a5a
22,365ffacc-e7d4-40d2-9665-700a93785fc6,"68-102 Forest St
Colac East VIC 3250",f684ebf3-3dc6-40df-9a69-1566366efdf5,143.605609,-38.342309,0afcfcb6-0a5d-4fd3-8617-5511e34607d8
23,25fdf488-1345-4667-8a0e-c82c2bedbd15,"31A Forest St
Colac VIC 3250",80112b06-048c-469e-8816-897f11403406,143.605314,-38.342702,b131d9a5-d376-4e3a-9e05-9e587b9f15ec
24,623a574b-a176-45ee-b286-5eb4f2f4bf45,"59 Forest St
Colac East VIC 3250",db340f09-94bc-412a-b0af-b65ad7adf7f5,143.604969,-38.34558,989acab1-8c9c-452c-b298-61e38514c11d
25,52287102-1ac2-42ef-9b9b-c7dd97ace4b7,"120-124 Forest St
Elliminyt VIC 3250",c442ffa0-0750-4eb4-bc23-e28a8654379f,143.604917,-38.34614,90ac4f7e-9614-42d5-8cc1-9fe9248756cb
26,fa885e72-c8eb-494d-8632-41939bcdbd7f,"91-149 Forest St
Elliminyt VIC 3250",55f16beb-d18f-467f-9e9c-77d7ddd33aff,143.604225,-38.349489,26e8fb17-a3ad-4284-9e5f-8b2e32f3a7a4
27,97880826-b722-4e2b-bde1-f63e7f6d8e1b,"3-33 Bromfield St
Colac VIC 3250",c3ea2ac4-34ff-4289-9248-e2605099c4d1,143.585482,-38.340691,d93067df-8bcc-4c22-a525-64c9920f747a
28,60895a10-47b2-485f-a628-357a1938e49c,"1-13 Gallop St
Colac East VIC 3250",f314824c-1cef-4c4b-b8c0-bbd7f640949e,143.608125,-38.334711,1f69f17b-13b6-4048-9358-12cbf89c7d85
29,bedbcc4d-5159-458d-a3ee-d7b3456267ca,"36-42 Gellibrand St
Colac VIC 3250",b6368522-d3d3-4eae-b278-bae7b245ac80,143.586949,-38.337962,3023c0cd-2e71-4300-bbb6-21ce010ba329
30,4f27d3b2-2c76-4752-8898-6815313c6a02,"46 Grant St
Colac VIC 3250",7820bc85-56be-4da0-93db-22466b419c06,143.581945,-38.338535,ac5fbb57-6d14-4133-8ee6-e6079a1b6fc9
31,8cbab7ea-f4f0-49e6-9bfe-204f1c0344e1,"85 Hart St
Colac VIC 3250",4153c2a0-e6c1-4e8d-b585-2e25247ddc44,143.579666,-38.347988,4a412919-a5cf-43ba-a197-ea816fdd41dc
32,0a284f52-150a-4252-812d-71e8dabd24d5,"133-131 Hart St
Colac VIC 3250",05d3cb29-7ec1-48cd-a3ca-30dc79f4cab4,143.5787,-38.353223,4924bb29-7780-4b91-b74a-6f54ad6abaff
33,1a588e8e-ca3c-4775-a005-9077a5f1ab8f,"Hart St
Elliminyt VIC 3250",40625db8-d537-4f3f-b435-a2e01870a5a0,143.577383,-38.361525,36234fc4-abc6-40dd-ac53-4d299103c4f8
34,8b9dd0ce-ce32-409c-aa6b-0179d7ea51b2,"145-131 Hearn St
Colac VIC 3250",96170ea8-20a8-4b62-9d0f-f18149d3c7aa,143.585935,-38.349557,31aac1ab-3b4a-4948-a805-9f2ee8238d7b
35,84e00359-a9b3-4d64-9321-d0d452e0a541,"118-134 Hearn St
Colac VIC 3250",f1fb544f-2029-4192-aff4-494d6dbaa0f8,143.589804,-38.350001,a2bad3f6-0787-4fc3-983b-44e22524c6d0
36,ddbba479-2c2e-4a22-a5ab-c15a0981e400,"51-45 Hesse St
Colac VIC 3250",cbe2e8f1-a656-489c-94b1-cd5637041683,143.589752,-38.3404,f352fccd-ef2e-475d-9f21-f64645e86866
37,00d4d16a-fc75-49ac-a5cf-35b8871578b3,"4-32 Howarth St
Elliminyt VIC 3250",ef1d91a0-e136-4343-9929-3f757931c353,143.579042,-38.365453,c84131fd-2c80-4083-b560-fd4ea701cd33
38,0dea057a-3741-4a51-ab14-65ee4b257695,"111-103 Jennings St
Colac VIC 3250",73eecb53-4b73-47bd-9cdd-04b70ad8fe30,143.565514,-38.338945,c0e8e8da-2775-4557-bf24-d51665487c86
39,9a34e94d-8dd9-4cfc-931b-5e365c0de369,"81 Jennings St
Colac VIC 3250",c9ac8256-edef-43c4-8df6-e416e00ce0cb,143.568757,-38.339342,6be97da5-8914-43ad-8490-49d315f61429
40,0f098ef6-782b-4447-834f-7c6c035293b9,"14 Lyons St
Colac VIC 3250",c22c3c3b-b060-43e0-9699-1d7240e5bf11,143.59757,-38.336628,5123200e-d741-47d2-8c6a-3390b77dcb1e
41,84a49bd8-048a-4aef-ae48-3c12c7b5376f,"169 Main St
Elliminyt VIC 3250",8136a208-f83b-4e5d-ac2b-089ac21e15f1,143.582933,-38.360753,bb716394-e605-43e2-933d-be5e7e24d35e
42,ecccd46b-c189-4233-9138-c21c624d1c9f,"109 Main St
Elliminyt VIC 3250",51d6269d-dcd6-4d74-9051-9820ca36e450,143.583188,-38.354676,b90b81b8-a2e1-4362-87e8-f69c834e89ad
43,b9400df0-43c3-4792-a094-6c6bef39a9f5,"52-2 Marriner St
Colac East VIC 3250",38cd5a1e-bce7-44b1-a4f6-ff8b3a8d0949,143.611218,-38.330441,50bf70f3-1638-4d55-a3b6-47db34e71dee
44,da59cc29-c131-45ab-a32e-e50001367311,"11 Marriner St
Colac East VIC 3250",9f4aa3e1-65e1-419d-a076-c17df69210ea,143.612704,-38.330564,3f7fd330-e2d8-4d7b-a88e-9fbefac0e846
45,f94eff8a-c9e8-44d8-971c-ee80b1327b5f,"73 Marriner St
Colac East VIC 3250",84c6e7c4-26a1-42bd-aebb-473833171fb9,143.615946,-38.330334,792c1eea-4ab5-4d62-a14c-28b3ec7349c5
46,e06b61bf-a255-4ef1-b40b-e761aa8e3857,"8-14 McLeod St
Colac VIC 3250",d90d9ed9-2ca7-4f2c-9316-8a0842fa53e4,143.578181,-38.346659,dc95265d-8ad3-4177-bbc0-e72ad284f770
47,8c3921eb-4165-42f3-931f-f8f9e5d3c7b8,"47 Moore St
Colac VIC 3250",db03df67-8d27-4d98-bef3-f6c0fd861577,143.574887,-38.333469,d05935f6-f524-42a0-944e-22e4e1807b3d
48,5ab569ca-ae37-4365-ae8d-7dee0a3411de,"333 Murray St
Colac VIC 3250",b2db49a0-2a8d-463b-8125-1ece1183d7e5,143.576402,-38.33805,d5a72c51-1ce9-41a0-97cd-a8e76d9b2a10
49,9c9ae8fc-7aa6-4627-a4bc-c9daec3a7160,"14 Baillie St
Colac East VIC 3250",f6357509-abcd-494f-82e5-2af47270f8b7,143.609792,-38.3359,ee4253f3-cce9-4821-89ae-f598297847d6
50,5d201c23-039c-4023-8859-b74157d33f79,"5 Pollack St
Colac VIC 3250",ceb484a9-cd96-4bd2-bb46-ec2d98b60943,143.582775,-38.336045,76cb6911-665b-4ee0-affa-33d47d10244f
51,e4431c02-067b-4b48-b746-ddf5234b8559,"60 Pollack St
Colac VIC 3250",4b222926-4c30-43e3-b477-94833241c09e,143.593212,-38.336144,0f79be8c-1ab0-41d5-a8b1-b7915502454a
52,cbae5b70-8596-4bda-8e3c-ce4c5b593514,"30 Polwarth St
Colac VIC 3250",8e845ca6-4322-45a3-8099-3f2e3d775f14,143.59762,-38.339089,a94013b9-77e4-423f-a531-5fc3be23473e
53,7c75a9da-aa28-46a3-809d-927b67d19af1,"48 Queen St
Colac VIC 3250",b97c3bad-2253-4cd1-8fc2-14c8e81e5ddd,143.592585,-38.338498,6b12f49f-bf88-4fdd-8eff-fdd7f79dab0f
54,8d90a3ac-5922-4e84-8b07-4d460fd97eb1,"104 Queen St
Colac VIC 3250",c773a181-f0cf-4fee-8ffc-9a07f01cd7da,143.592416,-38.34448,2a4d3774-7a0b-44d5-b07e-1909a455e1d7
55,c4232ba0-fbd5-4a43-a523-31b76a7cd39a,"Colac-Forrest Rd
Colac VIC 3250",fdfb7331-c281-4ccd-89f8-3ce9a4652018,143.61,-38.341241,7bb930d0-f9b6-4cfa-a83c-d9a62a44d38c
