row_id,ACLineSegments.mrid,conductor.length (m)
1,bf6eca39-d103-4038-9066-ee129519ac28,336.3215315
2,9652d0af-8525-4aae-b766-b72ffaaae41b,385.8592442
3,4d2945e0-9607-4088-b0be-b603a548bbc9,480.3117176
4,f303615c-5972-4730-99b2-6de78457138c,254.7068119
5,1c485032-584b-4420-89ac-b6fa8f7399bd,210.3068757
6,91f4527b-50ab-4173-9eb1-c461693e8ced,240.8274832
7,d081d386-d2ef-44ce-abe3-f139a3bb01be,554.9736322
8,83d1efc4-b831-47ed-9328-eb4bd0cb436e,137.7598056
9,c545e88d-5253-43f5-bb6f-de1a288716af,296.1877512
10,b04f43d7-fda9-4a6d-b09d-122142c171d1,58.27380969
11,63a7e9b2-27a7-445e-8050-324c898784a2,366.8150761
12,22fbe943-0401-40a9-9f28-239583c2f199,43.33386852
13,6f2ec488-de40-4127-b111-ef18f012d9dc,302.5912897
14,4ffcb5f9-9c5f-475f-ab6e-4db0b1d9e307,176.9453752
15,e6406690-7043-49de-a361-5ca5653a7da4,525.5267517
16,313d5f76-93e0-4e54-b870-1d5642589fbe,36.18785571
17,0a46b1b2-1df2-435c-93c7-b81fc34a7b39,51.74293698
18,f3938818-6299-4faf-a10e-cd027a2ae613,28.06298577
19,04c68df6-47bd-4096-936d-90322315b7f5,199.597221
20,8761ab1e-e22c-45c7-b632-655a11c35f53,40.93744012
21,3cab88a7-2221-4143-b5b3-dddb3ac2c0f6,53.66807498
22,d17fe7a3-9316-4aac-b4e9-d426bfbf5c6d,150.8627207
23,7a056c80-b483-4778-a2ef-e5abbc5ee506,115.6584622
24,5972ad9a-dbf4-4d8b-a37b-e42f68b0d506,74.80449366
25,d2a42408-22fc-42eb-9dec-ca7c06772185,177.0686698
26,27d45dd2-f5fb-48ae-aaf8-515d2a21dd2b,902.0793792
27,6f7db734-b186-4f4d-9752-815603fd7373,289.2073158
28,16be3b0b-d5d5-4b8c-bdfa-96439c3d9da5,179.0048561
29,1549c543-ff2f-4499-b5b0-cb81cf9c73a6,197.8918095
30,e06ff79e-aa95-4cf7-abe3-f92917b60f2d,376.6319273
31,be00739e-88ff-4e90-9738-47fb6a02f6b6,426.8499315
32,382868e0-058f-440a-81b9-2c9b4142491e,410.3190003
33,42d86e9e-3cca-4e60-96b3-bbc19a92ad20,1164.150578
34,52e9d5a0-d3d3-4114-857d-25af48bae6e6,383.1783419
35,3d893a11-9920-4234-8541-4f2fcabffdc8,281.7572877
36,c450191b-8d83-42a5-97e2-a6ccb2dd767f,485.7527694
37,c807bfaa-4f79-44be-af3a-0a2ec4ef6dda,357.3862297
38,0a63a73f-0b45-4299-93ae-266a33a9a262,95.92234343
39,72e2b4d1-50ec-44d4-8b52-8d662400c650,75.43601731
40,9fa91903-ba66-4331-927e-30001e29c849,263.8689316
41,3e86b3c8-025a-422a-9624-0cb0df8da44f,102.6656584
42,e38cb81f-31f5-4fca-bdb5-1c2808945973,163.3636417
43,f91554e2-370d-4541-a752-53f32857af8c,193.0469081
44,2d34b7a6-3aec-44e0-a0a7-daedaabb870d,155.246311
45,cba5b660-4acd-4880-be63-dc5b3b7f0f1e,104.3744116
46,b413e0c9-8544-4f22-ab4e-e5b2324150a0,69.25511101
