row_id,Location_mrid,name,y_position,x_position
1,95ae0a35-dbdd-4013-85ca-41cd8a8355b6,"35-3 Borwick St
Colac VIC 3250",-38.352209,143.580011
2,69f54ff6-7264-4c0d-93cd-6c6db4195263,"152 Aireys St
Ellimint,Victoria",-38.357688,143.582227
3,f7bb4ddc-a20b-4f90-a048-31364182a330,"68-112 Aireys St
Elliminyt VIC 3250",-38.358444,143.589975
4,fd1bb3de-4233-4b25-a977-630fdbdcfe2d,"21-5 Aireys St
Elliminyt VIC 3250",-38.359588,143.599795
5,7dfe6dd9-574c-4bc7-a9a1-ab6e4e8937c0,"314-336 Armstrong St
Elliminyt VIC 3250",-38.364806,143.572066
6,09ee3562-76c7-49e8-ac06-eea3c58db2c6,"237-189 Armstrong St
Elliminyt VIC 3250",-38.355484,143.573383
7,8413abb7-5973-431f-8998-ed9289237f9f,"179 Armstrong St
Colac VIC 3250",-38.351358,143.574112
8,d35f84b4-de9b-4c35-8f41-98adac1763fe,"62-68 Armstrong St
Colac VIC 3250",-38.341761,143.575961
9,bb261008-2da8-43d8-8475-b0a96adb68aa,"3-1 Autumn St
Colac VIC 3250",-38.333278,143.597367
10,929f7b2a-5c68-4ffa-8373-e01cf947f369,"13-1 Ball St
Colac VIC 3250",-38.331296,143.569196
11,c5694fbd-27e3-4b9d-b245-0c1b95dd251a,"52 Bromfield St
Colac VIC 3250",-38.340954,143.585281
12,8fa60455-7641-4a6b-83c7-e236c4f76f2f,"Bromfield St
Colac VIC 3250",-38.340786,143.588141
13,f26eb77a-9faa-4b75-bb5e-9cc584abe955,"105-83 Bruce St
Colac VIC 3250",-38.338623,143.604477
14,a4188a8f-fb55-4d7d-a3b8-a96805f1caf1,"44-32 Calvert St
Colac VIC 3250",-38.334962,143.588075
15,9442abe0-6032-497a-b666-cd27b363a62a,"31 Chapel St
Colac VIC 3250",-38.334363,143.600244
16,4d35891f-2208-47f2-94fe-8acd7fc1dd8a,"2-14 Clark St
Colac VIC 3250",-38.329103,143.607737
17,9ab2ef53-857b-457e-9c91-0816c5d85820,"13 Connor St
Colac VIC 3250",-38.340444,143.582661
18,29d28d9b-0515-4ff1-ae28-3a1fbf055d56,45 Corangamite St Colac VIC 3250,-38.338788,143.584016
19,a124c3c8-ee6e-4cfc-86f1-bb8c66d23443,"175-169 Main St
Elliminyt VIC 3250",-38.360722,143.583042
20,736144c2-453b-4fb8-8be7-c937377b3099,"2-16 Edgar St
Colac VIC 3250",-38.334025,143.600126
21,816d999c-7720-45bb-8281-dd7f9036091e,"17-1 Forest St
Colac East VIC 3250",-38.33718,143.606318
22,365ffacc-e7d4-40d2-9665-700a93785fc6,"68-102 Forest St
Colac East VIC 3250",-38.342309,143.605609
23,25fdf488-1345-4667-8a0e-c82c2bedbd15,"31A Forest St
Colac VIC 3250",-38.342702,143.605314
24,623a574b-a176-45ee-b286-5eb4f2f4bf45,"59 Forest St
Colac East VIC 3250",-38.34558,143.604969
25,52287102-1ac2-42ef-9b9b-c7dd97ace4b7,"120-124 Forest St
Elliminyt VIC 3250",-38.34614,143.604917
26,fa885e72-c8eb-494d-8632-41939bcdbd7f,"91-149 Forest St
Elliminyt VIC 3250",-38.349489,143.604225
27,97880826-b722-4e2b-bde1-f63e7f6d8e1b,"3-33 Bromfield St
Colac VIC 3250",-38.340691,143.585482
28,60895a10-47b2-485f-a628-357a1938e49c,"1-13 Gallop St
Colac East VIC 3250",-38.334711,143.608125
29,bedbcc4d-5159-458d-a3ee-d7b3456267ca,"36-42 Gellibrand St
Colac VIC 3250",-38.337962,143.586949
30,4f27d3b2-2c76-4752-8898-6815313c6a02,"46 Grant St
Colac VIC 3250",-38.338535,143.581945
